group,quantity,value,unit,definition
pseudo_step_induced,residual RMS >=0.10 m,0.007,m,dp_pub - 2|L| sin(|dpsi|/2)
pseudo_step_induced,residual max |.| >=0.10 m,0.0168,m,
pseudo_step_induced,|dpsi| range >=0.10 m,16.6 - 167.5,deg,
pseudo_step_induced,residual RMS >=0.05 m,0.0071,m,
pseudo_step_induced,residual max |.| >=0.05 m,0.0168,m,
pseudo_step_induced,fraction within 0.02 m >=0.05 m,100.0,%,
pseudo_step_operational,frames >=0.05 m,58,frame,
pseudo_step_operational,episodes >=0.05 m,39,-,frames within 5 s are one episode
pseudo_step_operational,rate >=0.05 m,3.1911,1/h,per hour of fixed solution in this subset (18.18 h)
pseudo_step_operational,frames >=0.10 m,21,frame,
pseudo_step_operational,episodes >=0.10 m,15,-,frames within 5 s are one episode
pseudo_step_operational,rate >=0.10 m,1.1554,1/h,per hour of fixed solution in this subset (18.18 h)
pseudo_step_operational,frames >=0.20 m,10,frame,
pseudo_step_operational,episodes >=0.20 m,9,-,frames within 5 s are one episode
pseudo_step_operational,rate >=0.20 m,0.5502,1/h,per hour of fixed solution in this subset (18.18 h)
pseudo_step_operational,frames >=0.30 m,7,frame,
pseudo_step_operational,episodes >=0.30 m,6,-,frames within 5 s are one episode
pseudo_step_operational,rate >=0.30 m,0.3851,1/h,per hour of fixed solution in this subset (18.18 h)
pseudo_step_operational,frames >=0.50 m,1,frame,
pseudo_step_operational,episodes >=0.50 m,1,-,frames within 5 s are one episode
pseudo_step_operational,rate >=0.50 m,0.055,1/h,per hour of fixed solution in this subset (18.18 h)
pseudo_step_operational,residual RMS >=0.10 m,0.0073,m,dp_pub - 2|L| sin(|dpsi|/2)
pseudo_step_operational,residual max |.| >=0.10 m,0.0176,m,
pseudo_step_operational,|dpsi| range >=0.10 m,16.7 - 117.2,deg,
pseudo_step_operational,residual RMS >=0.05 m,0.0079,m,
pseudo_step_operational,residual max |.| >=0.05 m,0.0186,m,
pseudo_step_operational,fraction within 0.02 m >=0.05 m,100.0,%,
operational_by_site,concrete yard frames >=0.10 m,6,frame,
operational_by_site,concrete yard fixed hours,11.6768,h,
operational_by_site,concrete yard rate,0.5138,1/h,
operational_by_site,greenhouse (natural) frames >=0.10 m,14,frame,
operational_by_site,greenhouse (natural) fixed hours,2.3744,h,
operational_by_site,greenhouse (natural) rate,5.8961,1/h,the greenhouse recordings left here are 2026-08-28/29 (natural operation) plus the 0.01 h tail of 2026-08-30
operational_by_site,orchard frames >=0.10 m,1,frame,
operational_by_site,orchard fixed hours,4.1241,h,
operational_by_site,orchard rate,0.2425,1/h,
operational_by_site,overall frames >=0.10 m,21,frame,
operational_by_site,overall rate,1.1554,1/h,21 frames in 18.18 fixed hours
increments_operational,all n,347252,frame,
increments_operational,all RMS,2.1168,deg,root mean square of |dpsi|
increments_operational,all P(>5 deg),3.294149,%,exceedance probability
increments_operational,all count >5 deg,11439,frame,
increments_operational,all P(>10 deg),0.34989,%,exceedance probability
increments_operational,all count >10 deg,1215,frame,
increments_operational,all P(>20 deg),0.038877,%,exceedance probability
increments_operational,all count >20 deg,135,frame,
increments_operational,all P(>45 deg),0.012671,%,exceedance probability
increments_operational,all count >45 deg,44,frame,
increments_operational,all P(>90 deg),0.004608,%,exceedance probability
increments_operational,all count >90 deg,16,frame,
increments_operational,all P(> max bound 16.66 deg),0.054139,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments_operational,all count > max bound 16.66 deg,188,frame,increments that cannot be a turn of this vehicle
increments_operational,"all P(> Delta_min 48.5 deg, T=0.30 m)",0.011519,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments_operational,"all count > Delta_min 48.5 deg, T=0.30 m",40,frame,
increments_operational,"all P(> Delta_min 86.3 deg, T=0.50 m)",0.004896,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments_operational,"all count > Delta_min 86.3 deg, T=0.50 m",17,frame,
increments_operational,all median,0.2844,deg,secondary
increments_operational,all p90,2.4988,deg,secondary
increments_operational,all p99,7.2307,deg,secondary
increments_operational,all p99.9,13.1954,deg,secondary
increments_operational,all max,175.7729,deg,secondary
increments_operational,straight n,140041,frame,
increments_operational,straight RMS,1.8027,deg,root mean square of |dpsi|
increments_operational,straight P(>5 deg),0.766204,%,exceedance probability
increments_operational,straight count >5 deg,1073,frame,
increments_operational,straight P(>10 deg),0.179233,%,exceedance probability
increments_operational,straight count >10 deg,251,frame,
increments_operational,straight P(>20 deg),0.055698,%,exceedance probability
increments_operational,straight count >20 deg,78,frame,
increments_operational,straight P(>45 deg),0.019994,%,exceedance probability
increments_operational,straight count >45 deg,28,frame,
increments_operational,straight P(>90 deg),0.007141,%,exceedance probability
increments_operational,straight count >90 deg,10,frame,
increments_operational,straight P(> max bound 16.66 deg),0.075692,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments_operational,straight count > max bound 16.66 deg,106,frame,increments that cannot be a turn of this vehicle
increments_operational,"straight P(> Delta_min 48.5 deg, T=0.30 m)",0.017138,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments_operational,"straight count > Delta_min 48.5 deg, T=0.30 m",24,frame,
increments_operational,"straight P(> Delta_min 86.3 deg, T=0.50 m)",0.007141,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments_operational,"straight count > Delta_min 86.3 deg, T=0.50 m",10,frame,
increments_operational,straight median,0.2821,deg,secondary
increments_operational,straight p90,0.9822,deg,secondary
increments_operational,straight p99,4.6728,deg,secondary
increments_operational,straight p99.9,13.6226,deg,secondary
increments_operational,straight max,175.7729,deg,secondary
increments_operational,turn n,29808,frame,
increments_operational,turn RMS,4.5982,deg,root mean square of |dpsi|
increments_operational,turn P(>5 deg),19.0989,%,exceedance probability
increments_operational,turn count >5 deg,5693,frame,
increments_operational,turn P(>10 deg),2.331589,%,exceedance probability
increments_operational,turn count >10 deg,695,frame,
increments_operational,turn P(>20 deg),0.134192,%,exceedance probability
increments_operational,turn count >20 deg,40,frame,
increments_operational,turn P(>45 deg),0.036903,%,exceedance probability
increments_operational,turn count >45 deg,11,frame,
increments_operational,turn P(>90 deg),0.020129,%,exceedance probability
increments_operational,turn count >90 deg,6,frame,
increments_operational,turn P(> max bound 16.66 deg),0.187869,%,exceedance of the measured physical bound |omega_z|max x 0.2 s
increments_operational,turn count > max bound 16.66 deg,56,frame,increments that cannot be a turn of this vehicle
increments_operational,"turn P(> Delta_min 48.5 deg, T=0.30 m)",0.036903,%,exceedance of the eq. (4) floor of the deployed 0.30 m position test
increments_operational,"turn count > Delta_min 48.5 deg, T=0.30 m",11,frame,
increments_operational,"turn P(> Delta_min 86.3 deg, T=0.50 m)",0.023484,%,exceedance of the eq. (4) floor of the deployed 0.50 m position test
increments_operational,"turn count > Delta_min 86.3 deg, T=0.50 m",7,frame,
increments_operational,turn median,2.113,deg,secondary
increments_operational,turn p90,6.3719,deg,secondary
increments_operational,turn p99,12.1352,deg,secondary
increments_operational,turn p99.9,24.6771,deg,secondary
increments_operational,turn max,168.2874,deg,secondary
increments_operational,frames above the max bound,172,frame,|dpsi| > 16.658 deg/frame
increments_operational,P(|dpsi| > max bound),0.055583,%,of the 309448 operational increments with a usable gyro envelope
gate_split,induced: pseudo-step onsets >=0.10 m,6,-,first frame of each ungated pseudo-step episode
gate_split,operational: pseudo-step onsets >=0.10 m,15,-,first frame of each ungated pseudo-step episode
gate_split,"v3b, operational: false-gate rate",0.0407,%,"g = 17 deg; 14/15 onsets held, 117 frames withheld, 15 residual episodes >= 0.10 m"
gate_split,"v3b, induced: false-gate rate",0.101,%,"g = 17 deg; 4/6 onsets held, 22 frames withheld, 5 residual episodes >= 0.10 m"
gate_split,"v3a 5 s, operational: false-gate rate",0.2004,%,"g = 17 deg; 14/15 onsets held, 866 frames withheld, 7 residual episodes >= 0.10 m"
gate_split,"v3a 5 s, induced: false-gate rate",0.6775,%,"g = 17 deg; 4/6 onsets held, 154 frames withheld, 5 residual episodes >= 0.10 m"
gate_split,"v3a 10 s, operational: false-gate rate",0.3216,%,"g = 17 deg; 13/15 onsets held, 1381 frames withheld, 5 residual episodes >= 0.10 m"
gate_split,"v3a 10 s, induced: false-gate rate",1.2184,%,"g = 17 deg; 3/6 onsets held, 261 frames withheld, 4 residual episodes >= 0.10 m"
gate_split,"v3a 20 s, operational: false-gate rate",0.4264,%,"g = 17 deg; 11/15 onsets held, 1839 frames withheld, 5 residual episodes >= 0.10 m"
gate_split,"v3a 20 s, induced: false-gate rate",2.4843,%,"g = 17 deg; 3/6 onsets held, 496 frames withheld, 3 residual episodes >= 0.10 m"
gate_split,"v3a 60 s, operational: false-gate rate",0.8443,%,"g = 17 deg; 11/15 onsets held, 3717 frames withheld, 4 residual episodes >= 0.10 m"
gate_split,"v3a 60 s, induced: false-gate rate",6.0561,%,"g = 17 deg; 4/6 onsets held, 1151 frames withheld, 3 residual episodes >= 0.10 m"
gate_split,"v3a unbounded, operational: false-gate rate",3.7548,%,"g = 17 deg; 11/15 onsets held, 13555 frames withheld, 2 residual episodes >= 0.10 m"
gate_split,"v3a unbounded, induced: false-gate rate",33.7989,%,"g = 17 deg; 4/6 onsets held, 5911 frames withheld, 2 residual episodes >= 0.10 m"
reviewer_classes,all: genuine (tol 1 deg),302455,frame,|dpsi - dpsi_imu| <= 1 deg; denominator of the false-gate rate
reviewer_classes,all: outlier (tol 1 deg),29224,frame,
reviewer_classes,all: genuine (tol 2 deg),321238,frame,|dpsi - dpsi_imu| <= 2 deg; denominator of the false-gate rate
reviewer_classes,all: outlier (tol 2 deg),10441,frame,
reviewer_classes,all: genuine (tol 5 deg),329680,frame,|dpsi - dpsi_imu| <= 5 deg; denominator of the false-gate rate
reviewer_classes,all: outlier (tol 5 deg),1999,frame,
reviewer_classes,all: unclassified (no IMU),33120,frame,frames in the 7 recordings without an IMU; excluded from both rates
reviewer_classes,all: total increments,364799,frame,
reviewer_classes,operational: genuine (tol 1 deg),286654,frame,|dpsi - dpsi_imu| <= 1 deg; denominator of the false-gate rate
reviewer_classes,operational: outlier (tol 1 deg),27517,frame,
reviewer_classes,operational: genuine (tol 2 deg),304412,frame,|dpsi - dpsi_imu| <= 2 deg; denominator of the false-gate rate
reviewer_classes,operational: outlier (tol 2 deg),9759,frame,
reviewer_classes,operational: genuine (tol 5 deg),312343,frame,|dpsi - dpsi_imu| <= 5 deg; denominator of the false-gate rate
reviewer_classes,operational: outlier (tol 5 deg),1828,frame,
reviewer_classes,operational: unclassified (no IMU),33081,frame,frames in the 7 recordings without an IMU; excluded from both rates
reviewer_classes,operational: total increments,347252,frame,
reviewer_tolerance,"v1, all, tol 1 deg",0.0248,%,false-gate rate at g = 17 deg over 302455 genuine frames
reviewer_tolerance,"v1, operational, tol 1 deg",0.023,%,false-gate rate at g = 17 deg over 286654 genuine frames
reviewer_tolerance,"v1, all, tol 2 deg",0.0305,%,false-gate rate at g = 17 deg over 321238 genuine frames
reviewer_tolerance,"v1, operational, tol 2 deg",0.0283,%,false-gate rate at g = 17 deg over 304412 genuine frames
reviewer_tolerance,"v1, all, tol 5 deg",0.1147,%,false-gate rate at g = 17 deg over 329680 genuine frames
reviewer_tolerance,"v1, operational, tol 5 deg",0.1156,%,false-gate rate at g = 17 deg over 312343 genuine frames
reviewer_tolerance,"v2, all, tol 1 deg",0.0231,%,false-gate rate at g = 17 deg over 302455 genuine frames
reviewer_tolerance,"v2, operational, tol 1 deg",0.0216,%,false-gate rate at g = 17 deg over 286654 genuine frames
reviewer_tolerance,"v2, all, tol 2 deg",0.028,%,false-gate rate at g = 17 deg over 321238 genuine frames
reviewer_tolerance,"v2, operational, tol 2 deg",0.026,%,false-gate rate at g = 17 deg over 304412 genuine frames
reviewer_tolerance,"v2, all, tol 5 deg",0.1101,%,false-gate rate at g = 17 deg over 329680 genuine frames
reviewer_tolerance,"v2, operational, tol 5 deg",0.1111,%,false-gate rate at g = 17 deg over 312343 genuine frames
reviewer_tolerance,"v3b, all, tol 1 deg",0.0344,%,false-gate rate at g = 17 deg over 302455 genuine frames
reviewer_tolerance,"v3b, operational, tol 1 deg",0.0314,%,false-gate rate at g = 17 deg over 286654 genuine frames
reviewer_tolerance,"v3b, all, tol 2 deg",0.0439,%,false-gate rate at g = 17 deg over 321238 genuine frames
reviewer_tolerance,"v3b, operational, tol 2 deg",0.0407,%,false-gate rate at g = 17 deg over 304412 genuine frames
reviewer_tolerance,"v3b, all, tol 5 deg",0.0525,%,false-gate rate at g = 17 deg over 329680 genuine frames
reviewer_tolerance,"v3b, operational, tol 5 deg",0.0493,%,false-gate rate at g = 17 deg over 312343 genuine frames
reviewer_tolerance,"v3a, all, tol 1 deg",5.1171,%,false-gate rate at g = 17 deg over 302455 genuine frames
reviewer_tolerance,"v3a, operational, tol 1 deg",3.5116,%,false-gate rate at g = 17 deg over 286654 genuine frames
reviewer_tolerance,"v3a, all, tol 2 deg",5.3284,%,false-gate rate at g = 17 deg over 321238 genuine frames
reviewer_tolerance,"v3a, operational, tol 2 deg",3.7548,%,false-gate rate at g = 17 deg over 304412 genuine frames
reviewer_tolerance,"v3a, all, tol 5 deg",5.5169,%,false-gate rate at g = 17 deg over 329680 genuine frames
reviewer_tolerance,"v3a, operational, tol 5 deg",3.9514,%,false-gate rate at g = 17 deg over 312343 genuine frames
reviewer_sigma,stationary frames,103057,frame,"v2 slow class (reconstructed antenna path <= 0.50 m over 3 s), fixed solution, |omega_z| < 0.02 rad/s"
reviewer_sigma,sigma_psi overall,0.7356,deg,"std of the per-frame heading increment / sqrt(2), over 103057 frames (increment std 1.0403 deg)"
reviewer_sigma,sigma_psi concrete yard,0.4624,deg,"std of the per-frame heading increment / sqrt(2), over 40377 frames (increment std 0.6539 deg)"
reviewer_sigma,sigma_psi greenhouse,1.0923,deg,"std of the per-frame heading increment / sqrt(2), over 37727 frames (increment std 1.5448 deg)"
reviewer_sigma,sigma_psi orchard,0.2917,deg,"std of the per-frame heading increment / sqrt(2), over 24953 frames (increment std 0.4125 deg)"
reviewer_sigma,driver cov[35],7.61544e-05,rad^2,what the driver publishes when the heading is valid = 0.500 deg 1-sigma
reviewer_stale,induced: pseudo-steps >=0.05 m,40,frame,
reviewer_stale,induced: stale-heading candidates >=0.05 m,0,frame,"the IMU turn over the preceding 2.0 s is within 5 deg of the observed increment, so the jump could be a late update of a real turn"
reviewer_stale,operational: pseudo-steps >=0.05 m,58,frame,
reviewer_stale,operational: stale-heading candidates >=0.05 m,5,frame,"the IMU turn over the preceding 2.0 s is within 5 deg of the observed increment, so the jump could be a late update of a real turn"
reviewer_stale,induced: pseudo-steps >=0.10 m,15,frame,
reviewer_stale,induced: stale-heading candidates >=0.10 m,0,frame,"the IMU turn over the preceding 2.0 s is within 5 deg of the observed increment, so the jump could be a late update of a real turn"
reviewer_stale,operational: pseudo-steps >=0.10 m,21,frame,
reviewer_stale,operational: stale-heading candidates >=0.10 m,0,frame,"the IMU turn over the preceding 2.0 s is within 5 deg of the observed increment, so the jump could be a late update of a real turn"
reviewer_stale,event1: IMU turn over the preceding 2.0 s,-0.006,deg,vehicle parked; the reported increment is -67.54 deg
reviewer_stale,event1: IMU turn over the frame itself,0.0,deg,
reviewer_stale,event1: stale-heading candidate,0,-,"0 = no, the IMU saw no turn"
reviewer_stale,event2: IMU turn over the preceding 2.0 s,2.99,deg,vehicle parked; the reported increment is -178.87 deg
reviewer_stale,event2: IMU turn over the frame itself,-0.302,deg,
reviewer_stale,event2: stale-heading candidate,0,-,"0 = no, the IMU saw no turn"
reviewer_mahal,"k = 3, all: false-gate rate",19.31,%,"84159 frames rejected, 0 withheld (the filter always publishes an estimate), 14/21 pseudo-step onsets rejected, 0 residual episodes >= 0.10 m"
reviewer_mahal,"k = 3, operational: false-gate rate",17.5634,%,"74995 frames rejected, 0 withheld (the filter always publishes an estimate), 10/15 pseudo-step onsets rejected, 0 residual episodes >= 0.10 m"
reviewer_mahal,k = 3: event 1 rejected for,209.74,s,1048 frames; the filter keeps publishing its own estimate throughout
reviewer_mahal,k = 3: event 1 heading error when accepted again,14.05,deg,
reviewer_mahal,k = 3: event 1 position error when accepted again,0.0894,m,
reviewer_mahal,"k = 5, all: false-gate rate",14.5618,%,"66182 frames rejected, 0 withheld (the filter always publishes an estimate), 13/21 pseudo-step onsets rejected, 0 residual episodes >= 0.10 m"
reviewer_mahal,"k = 5, operational: false-gate rate",13.5504,%,"60088 frames rejected, 0 withheld (the filter always publishes an estimate), 9/15 pseudo-step onsets rejected, 0 residual episodes >= 0.10 m"
reviewer_mahal,k = 5: event 1 rejected for,206.73,s,1033 frames; the filter keeps publishing its own estimate throughout
reviewer_mahal,k = 5: event 1 heading error when accepted again,17.32,deg,
reviewer_mahal,k = 5: event 1 position error when accepted again,0.1101,m,
reviewer_mahal,q_yaw,4e-06,rad^2/s,process noise = (measured gyro drift 0.002 rad/s)^2 per second
reviewer_mahal,R_yaw,7.61544e-05,rad^2,measurement noise = the cov[35] the driver publishes (0.50 deg)
reviewer_mahal,caveat,"1-D emulation, not the full robot_localization filter",,"one scalar yaw state, no cross-covariance with position or velocity, no differential-drive process model"
reviewer_class_rule,rule,"slow: sum|dp_ant| over the trailing 3.0 s <= 0.50 m; else straight if |integral omega_z| < 5 deg, else turn; na without 3 s of history or without an IMU",,"v1 used the published displacement over the same window, which is the quantity a lever-arm pseudo-step corrupts"
reviewer_class_rule,frames that changed class,172769,frame,47.36 % of the 364799 increments
reviewer_class_xtab,v1 straight -> v2 straight,139783,frame,
reviewer_class_xtab,v1 straight -> v2 turn,119,frame,
reviewer_class_xtab,v1 straight -> v2 slow,129158,frame,
reviewer_class_xtab,v1 straight -> v2 na,3,frame,
reviewer_class_xtab,v1 turn -> v2 straight,69,frame,
reviewer_class_xtab,v1 turn -> v2 turn,29731,frame,
reviewer_class_xtab,v1 turn -> v2 slow,32256,frame,
reviewer_class_xtab,v1 na -> v2 straight,311,frame,
reviewer_class_xtab,v1 na -> v2 turn,31,frame,
reviewer_class_xtab,v1 na -> v2 slow,10822,frame,
reviewer_class_xtab,v1 na -> v2 na,22516,frame,
reviewer_class_effect,straight v1: n,269063,frame,
reviewer_class_effect,straight v1: RMS,1.584,deg,
reviewer_class_effect,straight v1: P(>5 deg),0.5147,%,
reviewer_class_effect,straight v2: n,140163,frame,
reviewer_class_effect,straight v2: RMS,2.0158,deg,
reviewer_class_effect,straight v2: P(>5 deg),0.7898,%,
reviewer_class_effect,straight v1: false-gate at g=17 (v3b),0.0392,%,over 262901 genuine frames
reviewer_class_effect,straight v2: false-gate at g=17 (v3b),0.0487,%,over 135645 genuine frames
reviewer_class_effect,turn v1: n,62056,frame,
reviewer_class_effect,turn v1: RMS,4.0312,deg,
reviewer_class_effect,turn v1: P(>5 deg),15.9501,%,
reviewer_class_effect,turn v2: n,29881,frame,
reviewer_class_effect,turn v2: RMS,4.629,deg,
reviewer_class_effect,turn v2: P(>5 deg),19.1326,%,
reviewer_class_effect,turn v1: false-gate at g=17 (v3b),0.0658,%,over 57779 genuine frames
reviewer_class_effect,turn v2: false-gate at g=17 (v3b),0.109,%,over 26594 genuine frames
reviewer_class_effect,slow v2: n,172236,frame,
reviewer_class_effect,slow v2: RMS,1.7406,deg,
reviewer_class_effect,slow v2: P(>5 deg),2.633,%,
reviewer_class_effect,slow v2: false-gate at g=17 (v3b),0.0289,%,over 158953 genuine frames
anomaly,frames with dp_pub > 1 m,887,frame,"position jumps far beyond 2|L| = 0.731 m; the reconstructed antenna point jumps with them (median |dp_ant| 1.705 m), so these are position-domain events (solution resets / injected faults), NOT lever-arm pseudo-steps, and the dp_ant criterion excludes them"
anomaly,dp_pub > 1 m in run_20260909_2026-09-09-07-56-42,865,frame,largest 30.40 m
anomaly,dp_pub > 1 m in run_20260907_2026-09-07-13-15-11,10,frame,largest 5.54 m
anomaly,dp_pub > 1 m in run_20260907_2026-09-07-14-19-47,4,frame,largest 2.45 m
anomaly,dp_pub > 1 m in run_20260829_2026-08-29-09-12-05,3,frame,largest 2.50 m
anomaly,dp_pub > 1 m in run_20260828_2026-08-28-10-16-47,2,frame,largest 2.18 m
anomaly,dp_pub > 1 m in run_20260826_2026-08-26-19-52-27,1,frame,largest 1.04 m
anomaly,dp_pub > 1 m in run_20260828_2026-08-28-16-38-15,1,frame,largest 1.79 m
anomaly,dp_pub > 1 m in run_20260830_2026-08-30-18-16-30,1,frame,largest 1.81 m
anomaly,bags with no fixed solution,3,bag,"run_20260826_2026-08-26-19-52-27, run_20260826_2026-08-26-19-56-35, run_20260826_2026-08-26-20-01-01"
anomaly,duplicate time stamps,2760,frame,"consecutive /rtk_odom frames with identical stamps (dt = 0); 0.76 % of the increments. Their |dpsi| is ordinary (median 0.282 deg, p99 7.136 deg, max 91.495 deg), but the gate gives them a budget of yaw_gate_margin alone, so they are the tightest frames in the replay"
anomaly,frames with cov[35] >= 1e5,54,frame,"driver had no heading and published the raw ANT1 point with yaw = 0; bags affected: run_20260906_2026-09-06-15-26-15, run_20260907_2026-09-07-13-15-11, run_20260909_2026-09-09-07-56-42"
